seed,alpha,method,coverage_overall,miscoverage,miscov_a0,miscov_a1,avg_utility,avg_maxmin,report_avg_maxmin,decision_avg_utility,set_size_mean,fdr_overall,action0_frequency,action1_frequency,rating1_recommend_rate,rating2_recommend_rate
1,0.01,RAC,0.9921,0.007900000000000018,0.0,0.038954635108481295,0.2593,0.2174,0.0146,0.2593,4.5798,0.7732933333333333,0.7972,0.2028,0.020030816640986132,0.05012744265080714
1,0.01,Score-1,0.991,0.009000000000000008,0.009016229212582605,0.0,0.0034,0.0018,0.0018,0.0034,4.2486,0.7601700000000001,0.9982,0.0018,0.0,0.0
1,0.01,Score-2,0.9899,0.010099999999999998,0.01002004008016033,0.050000000000000044,0.0036,0.002,0.002,0.0036,4.2281,0.7587583333333334,0.998,0.002,0.0,0.0
1,0.02,AC-RAC,0.9767,0.023299999999999987,0.018920422927100722,0.034495021337126563,0.3287,0.19542000000000004,-0.0532,0.3210365,4.226,0.7572066666666666,0.7188,0.2812,0.032357473035439135,0.07561597281223449
1,0.02,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.02,RAC,0.9842,0.015800000000000036,0.0,0.05656999641962046,0.3316,0.3169,0.0376,0.3316,4.4038,0.7625099999999999,0.7207,0.2793,0.04468412942989214,0.0875106202209006
1,0.02,Score-1,0.9816,0.018399999999999972,0.018311701378408318,0.032786885245901676,0.0109,0.0061,0.0061,0.0109,3.9677,0.74393,0.9939,0.0061,0.0,0.0
1,0.02,Score-2,0.9812,0.01880000000000004,0.01871415635375795,0.032786885245901676,0.011,0.0061,0.0061,0.011,3.9704,0.7436183333333333,0.9939,0.0061,0.0,0.0
1,0.05,AC-RAC,0.9537,0.04630000000000001,0.047158403869407506,0.04511992400854903,0.4422,0.3432275,-0.063,0.43964400000000003,3.8417,0.73795,0.5789,0.4211,0.0662557781201849,0.14868309260832624
1,0.05,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.05,RAC,0.958,0.04200000000000004,0.0,0.10266438523588362,0.44,0.5547,0.1456,0.44,4.0362,0.7399700000000001,0.5909,0.4091,0.09553158705701079,0.1503823279524214
1,0.05,Score-1,0.9529,0.04710000000000003,0.04605947182366399,0.0732984293193717,0.0592,0.0384,0.0384,0.0592,3.4675,0.7136066666666667,0.9618,0.0382,0.0015408320493066256,0.0008496176720475786
1,0.05,Score-2,0.9529,0.04710000000000003,0.04591730729274879,0.07754010695187163,0.0585,0.0375,0.0375,0.0585,3.4598,0.7117566666666667,0.9626,0.0374,0.0015408320493066256,0.002548853016142736
1,0.1,AC-RAC,0.9037,0.09630000000000005,0.09699655342195967,0.09582350959919161,0.5406,0.6515854999999999,0.0559,0.5424720000000001,3.3029,0.7121516666666666,0.4062,0.5938,0.17719568567026195,0.2829226847918437
1,0.1,Best Response,,,,,0.59,,,,,,0.2197,0.7803,0.32819722650231126,0.5182667799490229
1,0.1,RAC,0.9037,0.09630000000000005,0.0,0.18242091305171437,0.5019,0.8385,0.3106,0.5019,3.6336,0.7241633333333333,0.4721,0.5279,0.19106317411402157,0.25573491928632114
